date_x,stock_price,volume,symbol,cpi_value
2024-06-28,197.88,95438068,TSLA,314.175
2024-06-27,197.42,72746521,TSLA,314.175
2024-06-26,196.37,95737066,TSLA,314.175
2024-06-25,187.35,63678265,TSLA,314.175
2024-06-24,182.58,61992070,TSLA,314.175
2024-06-21,183.01,63029482,TSLA,314.175
2024-06-20,181.57,55893139,TSLA,314.175
2024-06-18,184.86,68982265,TSLA,314.175
2024-06-17,187.44,109786083,TSLA,314.175
2024-06-14,178.01,82038194,TSLA,314.175
2024-06-13,182.47,118984122,TSLA,314.175
2024-06-12,177.29,90389446,TSLA,314.175
2024-06-11,170.66,64761928,TSLA,314.175
2024-06-10,173.79,50869682,TSLA,314.175
2024-06-07,177.48,56244932,TSLA,314.175
2024-06-06,177.94,69887024,TSLA,314.175
2024-06-05,175.0,57953756,TSLA,314.175
2024-06-04,174.77,60056340,TSLA,314.175
2024-06-03,176.29,68568920,TSLA,314.175
2024-05-31,178.08,67314602,TSLA,314.069
2024-05-30,178.79,77784755,TSLA,314.069
2024-05-29,176.19,54782649,TSLA,314.069
2024-05-28,176.75,59736620,TSLA,314.069
2024-05-24,179.24,65584478,TSLA,314.069
2024-05-23,173.74,71975496,TSLA,314.069
2024-05-22,180.11,88313477,TSLA,314.069
2024-05-21,186.6,115266512,TSLA,314.069
2024-05-20,174.95,61727425,TSLA,314.069
2024-05-17,177.46,77445845,TSLA,314.069
2024-05-16,174.84,59812220,TSLA,314.069
2024-05-15,173.99,79662993,TSLA,314.069
2024-05-14,177.55,86407422,TSLA,314.069
2024-05-13,171.89,67018903,TSLA,314.069
2024-05-10,168.47,72627178,TSLA,314.069
2024-05-09,171.97,65950292,TSLA,314.069
2024-05-08,174.72,79969488,TSLA,314.069
2024-05-07,177.81,75045854,TSLA,314.069
2024-05-06,184.76,84390253,TSLA,314.069
2024-05-03,181.19,75491539,TSLA,314.069
2024-05-02,180.01,89148041,TSLA,314.069
2024-05-01,179.99,92829719,TSLA,314.069
2024-04-30,183.28,127031787,TSLA,313.548
2024-04-29,194.05,243869678,TSLA,313.548
2024-04-26,168.29,109815725,TSLA,313.548
2024-04-25,170.18,126427521,TSLA,313.548
2024-04-24,162.13,181178020,TSLA,313.548
2024-04-23,144.68,124545104,TSLA,313.548
2024-04-22,142.05,107097564,TSLA,313.548
2024-04-19,147.05,87074500,TSLA,313.548
2024-04-18,149.93,96098830,TSLA,313.548
2024-04-17,155.45,82439718,TSLA,313.548
2024-04-16,157.11,96999956,TSLA,313.548
2024-04-15,161.48,100245310,TSLA,313.548
2024-04-12,171.05,64722669,TSLA,313.548
2024-04-11,174.6,94515987,TSLA,313.548
2024-04-10,171.76,84532407,TSLA,313.548
2024-04-09,176.88,102327658,TSLA,313.548
2024-04-08,172.98,104039371,TSLA,313.548
2024-04-05,164.9,136439809,TSLA,313.548
2024-04-04,171.11,122061224,TSLA,313.548
2024-04-03,168.38,82223543,TSLA,313.548
2024-04-02,166.63,115344925,TSLA,313.548
2024-04-01,175.22,80751684,TSLA,313.548
2024-03-28,175.79,77654838,TSLA,312.332
2024-03-27,179.83,81804043,TSLA,312.332
2024-03-26,177.67,113186227,TSLA,312.332
2024-03-25,172.63,74228615,TSLA,312.332
2024-03-22,170.83,75580637,TSLA,312.332
2024-03-21,172.82,73178014,TSLA,312.332
2024-03-20,175.66,83846726,TSLA,312.332
2024-03-19,171.32,77271428,TSLA,312.332
2024-03-18,173.8,108214358,TSLA,312.332
2024-03-15,163.57,97146832,TSLA,312.332
2024-03-14,162.5,125494925,TSLA,312.332
2024-03-13,169.48,104717978,TSLA,312.332
2024-03-12,177.54,87009098,TSLA,312.332
2024-03-11,177.77,85013157,TSLA,312.332
2024-03-08,175.34,85544644,TSLA,312.332
2024-03-07,178.65,102129004,TSLA,312.332
2024-03-06,176.54,107920944,TSLA,312.332
2024-03-05,180.74,119660758,TSLA,312.332
2024-03-04,188.14,134334869,TSLA,312.332
2024-03-01,202.64,82243119,TSLA,312.332
2024-02-29,201.88,85906974,TSLA,310.326
2024-02-28,202.04,99806173,TSLA,310.326
2024-02-27,199.73,108645412,TSLA,310.326
2024-02-26,199.4,111747116,TSLA,310.326
2024-02-23,191.97,78841917,TSLA,310.326
2024-02-22,197.41,92739461,TSLA,310.326
